Delta,Theta,Alpha ,Beta,Gamma
9.885262,9.074846,8.534059,23.827722,15.862705
9.951224,9.094461,8.49463,23.836728,15.884205
10.013744,9.107329,8.457921,23.850079,15.926703
10.0747,9.113008,8.423699,23.868167,15.993662
10.135811,9.111686,8.390897,23.891617,16.089969
10.198951,9.10439,8.357969,23.921209,16.220578
10.263716,9.09365,8.323594,23.957886,16.390159
10.333599,9.084152,8.286708,24.002953,16.604455
10.416459,9.080241,8.246246,24.058109,16.869924
10.512499,9.08009,8.200049,24.125741,17.195305
10.598659,9.074967,8.145488,24.209204,17.592519
10.655984,9.056725,8.079957,24.313147,18.077557
10.680727,9.01912,8.000195,24.44453,18.674815
10.67596,8.955017,7.901032,24.614042,19.422201
10.647771,8.853922,7.773694,24.838723,20.380955
10.601357,8.701656,7.605097,25.142539,21.637735
10.547734,8.506815,7.403009,25.510923,23.137585
10.497852,8.472654,7.361644,25.592618,23.588991
10.46018,8.725107,7.601091,25.170275,22.192486
10.415768,8.984786,7.852224,24.728607,20.727274
10.362248,9.190547,8.05591,24.373929,19.582571
10.299385,9.354267,8.223938,24.08546,18.680903
10.227883,9.487775,8.368137,23.842563,17.945962
10.149094,9.598611,8.496159,23.632107,17.329174
10.064188,9.691234,8.613105,23.445923,16.799846
9.975217,9.768618,8.722488,23.27856,16.337472
9.88459,9.832859,8.8267,23.126288,15.927863
9.806382,9.885575,8.92735,22.986427,15.560793
9.735867,9.928094,9.025499,22.856971,15.22866
9.697053,9.961581,9.121798,22.736379,14.987324
9.741236,9.987242,9.2164,22.623497,15.003958
9.783694,10.00643,9.309049,22.517456,15.019355
9.824371,10.020208,9.399623,22.417483,15.033662
9.86332,10.029251,9.488223,22.322894,15.047015
9.900379,10.034245,9.574839,22.233232,15.059499
9.935362,10.035634,9.659588,22.148119,15.07118
9.968212,10.033832,9.742548,22.067126,15.082138
9.998918,10.029207,9.823803,21.989859,15.09245
10.027494,10.021661,9.903854,21.916023,15.102166
10.053932,10.011167,9.983196,21.845345,15.111333
10.078198,9.997924,10.062058,21.777549,15.420543
10.100247,9.982387,10.140197,21.712365,17.750802
10.120066,9.964592,10.217933,21.649612,18.592103
10.137659,9.944539,10.295563,21.589139,15.311559
10.153111,9.922414,10.372977,21.530807,15.150619
10.166508,9.898413,10.449935,21.474558,15.157413
10.178022,9.872791,10.52595,21.42039,15.163909
10.188068,9.845864,10.600153,21.368345,15.170134
10.197232,9.818469,10.670725,21.318594,15.176103
10.206279,9.792066,10.734791,21.271442,15.181818
10.216161,9.768116,10.789209,21.227238,15.187284
10.227839,9.74792,10.831248,21.186296,15.192514
10.242128,9.732611,10.858797,21.148859,15.197522
10.259521,9.723005,10.870729,21.11503,15.202307
10.279904,9.719542,10.867689,21.084647,15.206869
10.302545,9.722752,10.851455,21.057297,15.211219
10.326622,9.733066,10.824152,21.032525,15.215368
10.351422,9.75036,10.788028,21.009907,15.219315
10.376127,9.774079,10.745457,20.989047,15.223069
10.400126,9.803165,10.732478,20.969656,15.226637
10.423045,9.836139,10.713479,20.951547,15.230021
10.444581,9.871414,10.690312,20.934587,15.233223
10.464472,9.907484,10.66502,20.918672,15.236245
10.482588,9.943359,10.638968,20.903749,15.239091
10.498892,9.978955,10.612987,20.889797,15.241759
10.513367,10.014428,10.587583,20.876805,15.244246
10.525948,10.048758,10.563172,20.864735,15.246557
10.536632,10.081944,10.539951,20.85359,15.24869
10.545429,10.114012,10.517942,20.843391,15.250642
10.552323,10.145111,10.497087,20.834143,15.252408
10.557296,10.175333,10.477327,20.825838,15.253988
10.560366,10.204854,10.458595,20.818477,15.255383
10.561575,10.234051,10.440736,20.812066,15.256587
